latitude,longitude,accommodates,beds,bathrooms,half_bathrooms,shared_bathrooms,room_type_Entire_home/apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room,price
-22.96351,-43.17191,3,1.0,1,0,0,1,0,0,0,300.0
-23.01017,-43.35548,4,1.0,1,0,0,1,0,0,0,1290.0
-22.96102,-43.17127,5,6.0,1,1,1,0,0,1,0,321.0
-22.92119,-43.17719,4,2.0,1,0,0,1,0,0,0,514.0
-22.96568,-43.28876,2,1.0,1,0,0,0,0,1,0,723.0
-22.96558,-43.1778,2,1.0,1,0,0,1,0,0,0,743.0
-22.97318,-43.22614,2,1.0,1,0,0,1,0,0,0,300.0
-22.96295,-43.177,7,5.0,1,0,0,1,0,0,0,1350.0
-22.98486,-43.21097,1,1.0,2,1,0,0,0,1,0,170.0
-22.84008,-43.29611,10,4.0,1,0,1,0,0,1,0,171.0
-22.98073,-43.24065,2,2.0,1,1,2,0,0,1,0,957.0
-22.98346,-43.19993,6,8.0,2,1,0,1,0,0,0,2000.0
-22.9856,-43.19892,4,1.0,2,0,0,1,0,0,0,1456.0
-22.95371,-43.16751,2,1.0,1,1,0,1,0,0,0,313.0
-22.98583,-43.19577,3,2.0,1,0,0,1,0,0,0,985.0
-22.9841,-43.2022,2,1.0,1,0,0,0,0,1,0,700.0
-22.9663,-43.18938,2,2.0,1,0,0,1,0,0,0,557.0
-22.92865,-43.19301,1,1.0,1,0,0,0,0,1,0,70.0
-22.98079,-43.23917,3,2.0,1,1,2,0,0,1,0,1181.0
-22.97328,-43.18619,4,1.0,1,0,0,1,0,0,0,486.0
-22.98525,-43.19507,4,3.0,1,1,0,1,0,0,0,1000.0
-22.96533,-43.18429,3,2.0,1,0,0,1,0,0,0,406.0
-22.97034,-43.18662,6,5.0,2,0,0,1,0,0,0,3950.0
-22.94428,-43.20513,3,1.0,1,0,0,1,0,0,0,351.0
-22.92149,-43.22913,4,1.0,1,0,0,0,0,1,0,1000.0
-22.96654,-43.23407,1,2.0,1,0,0,0,0,1,0,486.0
-23.01545,-43.44626,1,4.0,3,0,0,0,0,1,0,283.0
-22.92328,-43.1878,2,2.0,1,0,0,0,0,1,0,270.0
-22.98705,-43.22284,4,2.0,1,0,0,1,0,0,0,1357.0
-22.98252,-43.19156,9,5.0,4,0,0,1,0,0,0,6515.0
-22.9828,-43.20467,2,1.0,1,0,0,1,0,0,0,600.0
-22.90574,-43.40871,16,10.0,7,0,0,0,0,1,0,120.0
-22.90611,-43.40917,3,2.0,1,0,0,0,0,1,0,200.0
-22.90579,-43.40743,3,3.0,1,0,0,0,0,1,0,250.0
-22.98188,-43.1947,2,1.0,1,0,0,0,0,1,0,421.0
-22.90634,-43.40683,2,1.0,1,0,0,0,0,1,0,200.0
-22.96222,-43.17022,3,3.0,1,1,1,0,0,1,0,297.0
-22.96898,-43.18325,4,1.0,1,0,0,1,0,0,0,250.0
-22.95615,-43.18175,2,1.0,1,0,0,0,0,1,0,169.0
-22.93583,-43.20002,4,3.0,2,1,3,0,0,1,0,493.0
-22.9492,-43.18457,5,2.0,2,0,0,1,0,0,0,488.0
